Owner,Brand,Ownership Type,Notes
Amazon,Mama Bear Organics,Megacorp,
Marinelli family,Martinelli's,Family owned,
Kameda Seika,Mary's gone Crackers,Japanese Megacorp,I was hoping it would be Mary... but it's not...
McDonald's,McCafe,Megacorp,
Axel Oberwelland,Merci Chocolate,Family Owned,Son of founder August Oberwelland currently runs and owns it.
Nature's Path,Mesa Sunrise,Founder Family Owned,
Jeff Mezzetta & Family,Mezzetta,Family Owned,Fourth generation family owned
Mezzetta Family,Mezzetta,Family owned,4th generation family owned
Mars,Milky Way,Megacorp,
Bary Robbins & David Levy,Miltons,"Founder owned, PE backed",Unclear how much PE is involved
Coca-Cola,Minute Maid,Megacorp,
Kraft-Heinz,Miracel Whip,Megacorp,
Gruma Corp.,Mission Chips,Megacorp,Based in Mexico
Post,Mom's Best,Megacorp,
Monster Beverage Corp,Monster,Megacorp,
JAB holding company,Mott's,Megacorp,
Privately Owned,Mt Olive,Privately Owned,SOME CRAZY STORY COME BACK TO THIS
Kellogg's,Mueslix,Megacorp,
Conagra Brands,Nalley,Megacorporation,
Magnano Family,Napoleon,Family owned,Fourth generation family owned
The Newman's Own Foundation,Newman's Own,Private Non-Profit,This company is the GOAT. They donate 100% of profits to charity and have donated more than $570 million worldwide through Newman's Own Foundation. However- this article details the family fight for control over the company after Paul's death.
Paul Newman & Family,Newman's Own,Founder family owned,Amazing company. 100% of profits are donated to charity.
Newman family,Newman's Own,Family owned,
Migros,Niagara Chocolates,Co-op,"Niagara chocolate was bought by Migros, Switzerland's largest retailer and employer. It is apparently a worker's co-op."
Heather K. Terry & Private Equity backers,Nib Mor,It's complicated,"Founded by Heather K. Terry, but a lot of funding rounds have taken place. Emil capital partners and possibly other VC firms are involved, it's hard to say if Terry is still in charge or not."
Nestle,Nidio,Megacorporation,I'll just leave this here...
Monster Beverage Corp,NOS,Megacorp,
Ahmed Rahim and Reem Hassani,Numi,Family owned,"Brother and sister who imigrated from Baghdad, Iraq in 1971"
Reckitt Benckiser Group,Nutramigen,Megacorporation,Mead Johnson is owned by Reckitt Benckiser Group and facing several class action lawsuits over baby formula
Albertson's,O Organics,Megacorporation,
General Mills,Oatmeal Crisp,Megacorp,
Co-op,Ocean Spray,Farmer's Co-op,
The Hershey Company,Oh Henry!,Megacorp,
Jennifer Garner & John Foraker,Once Upon A Farm,Founder owned,
One Mighty Mill,One Mighty Mill,Founder Owned,Founded by John Olinto
Post,OREO O’s,Megacorp,
Jeff Lichtenstein,Organic Nuna,Family owned,
Co-op,Organic Valley,Farmer's Cooperative,"Founded by George Siemon, who had previously worked for the National Organic Standards Board"
Employee Owned,Organiceville,Employee Owned,
"Litehouse, Inc",Organicville,Employee owned,
Nature's Path,Panda Puffs,Founder Family Owned,
Walmart,Parent's Choice,Megacorp,Store brand- manufactured by a subsidiary of Pfizer
Harris family,Partners,Family owned,"Based in Seattle, second generation"
Yvon Chouinard,Patagonia Provisions,Founder owned,This is the outdoor clothing company. The dude who climbs mountains.
Coca-cola,Peace Tea,Megacorp,
Spell Capital Partners,Pearson's Mint,Private Equity,
Post,PEBBLES,Megacorp,
Abbott Labs,Pediasure,Megacorporation,"""More sugar than a 12-ounce can of cola..."""
JAB Holding Company,Peet's,Megacorp,
HACO,Plochman's,Private equity,
Sun-Maid,Plum Organics,Co-op,
Auricchio family (Bel Gioioso),Polly-O,Family owned,
Jeff Bergadine & Michael Deal,Portlandia Foods,Founder owned,
Coca-cola,Powerade,Megacorp,
Campbell's Soup Company,Prego,Mega Corporation,Mary Alice Dorrance Malone(descendent of founder) still has largest stake in the company despite it being corporate
Post,Premier Protein,Megacorp,
Nabisco,Premium Saltines,Megacorporation,
Pepsico,Propel,Megacorp,
Post,Puffins,Megacorp,
PepsiCo,Quaker Oats,Megacorp,
Mizkan Group,Ragu,Mega Corporation,Based in Japan
Nick Keller,Rainforest Coffee Co.,Founder owned,"Partnered with this this channel- Follow this afilliate link to support my channel with a portion of proceeds and use code cancelthisclothingcompany for $5 off any order. A portion of all proceeds go to rainforest rehabilitation and all coffee is organic, pesticide free, small batch roasted to order."
Kellogg's,Raisin Bran,Megacorp,
Post,Raisin Bran,Megacorp,
General Mills,Raisin Nut Bran,Megacorp,
Campbell's Soup Company,Raos,Mega Corporation,Mary Alice Dorrance Malone(descendent of founder) still has largest stake in the company despite it being corporate
Schwan's Consumer Brands,Red Barron,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company..."
Mateschitz & Yoovidhya families,Red Bull,Family owned,I don't know what to make of this
The Hershey Company,Reese's,Megacorp,
General Mills,Reeses Puffs,Megacorp,
Coca-Cola,Rein,Megacorp,
Kellogg's,Rice Krispies,Megacorp,
Mondelez International,Ritz,Megacorporation,
Brown & Haley,Roca,Family Owned,Fifth generation family owned since 1940's
Pepsico,Rockstar,Megacorp,
The Hershey Company,Rolo,Megacorp,
Bernatello's Foods,Roma,Ramsay Family,
PepsiCo,Ruffles,Megacorp,
Rumiano family,Rumiano,Family owned,
Smuckers,RW Knudsen,Megacorp,
Noelle Deysel & Nic Stella,Ryse,Foudner owned,"Awesome guys, legit AF. Support them."
George Weston Limited,Sailor Boy,Private Equity,
Smuckers,Santa Cruz Organic,Megacorp,
Gentine family,Sargento,Family owned,
Fallucca Family,Screamin Sicillian,Family owned,Gives a darn about mustaches. Hell yeah.
Nestle,Seattle's Best,Megacorp,
Serenity & Joe Carr,Serenity,Family owned,
TH Foods Inc.,Sesmark,Private company,Ownership has passed around over the years. Used to be controlled by Mitsubishi
Post,Shredded Wheat,Megacorp,
United Bakeries Group,Sigdal,Megacorporation,"Complex ownership structure. I think leads up to Agrofert, a European conglomerate."
Albertson's,Signature Select,Megacorporation,
Abbott Labs,Similac,Megacorporation,Involved in the same lawsuit about NEC
Katlin Smith,Simple Mills,Female founder owned,Started this company in her early twenties.
Kroger,Simple Truth,Megacorp,
Mars,Skittles,Megacorp,
Nature's Path,Smart Bran,Founder Family Owned,
Kellogg's,Smart Start,Megacorp,
PepsiCo,Smartfood Popcorn,Megacorp,
The Dee Family,Smarties,Family owned,Run by the three granddaughters of the founder. So cool!
Coca-cola,Smartwater,Megacorp,
Mars,Snickers,Megacorp,
Post,Snoop Cereal,Megacorp,
Campbells Soup,Snyder's Pretzels,Megacorp,
Atalanta Corporation,Sonoma Creamery,Megacorporation,"Technically a private company, but its a big ole monster."
Utz Brands,South of the Border Chips,Megacorp,
Kellogg's,Special K,Megacorp,
Neptune Wellness Solutions,Sprout Organics,Megacorp,
Huy Fong Foods,Sriracha,Family owned,Tran family owned. Cool origin story
Starbucks,Starbucks,Megacorp,
Treehouse Foods,Steinfelds,Megacorporation,Via Bay Valley Foods
Nestle,Stouffer's,Megacorp,
McCormick,Stub's BBQ,Megacorp,
PepsiCo,Sun Chips,Megacorp,
Co-op,Sunkist,Farmer's Co-op,
Ken's Foods,Sweet Baby Ray's,Family owned,
Post,Sweet Dreams,Megacorp,
Post,Sweet Home Farm,Megacorp,
,Tabasco,Family owned,
Grupo Bimbo,Takis,Megacorp,
Unilever,Talenti,Megacorp,
CVC Capital Partners,Tazo,Private Equity,Bought from Unilever in 2022
Starbucks,Teavana,Megacorp,
Tata consumer products,Tetley,Megacorp,"Largest tea company in the UK and Canada, second largest in US"
Peter Harris,The Silver Palate,Privately Owned,Peter Harris purchased from the founders. He did not found it.
American Licorice Company,Theo,Privately owned,"In the process of merging with ALC as of mid 2023. ALC is technically family owned, but as they are a bigger conglomerate- I have marked Theo as now privately owned."
Co-op,Tillamook,Farmer's Cooperative,
Farmers Co-op,Tillamook,Co-op,
Restaurant Brands International,Tim Horton's,Megacorp,"Also own Burger King, Popeyes and Firehouse Subs."
Utz Brands,Tim's Chips,Megacorp,
"Sofia Laurell, Betsy Fore, Carolyn O'hare",Tiny Organics,Female founder owned,Big on subscription model
Nestle,Tombstone,Megacorp,
Schwan's Consumer Brands,Tony's,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company..."
Henk Jan Beltman,Tony's Chocolonely,Founder owned,"Minority stakes taken by Verlinvest and JamJar, both private equity partners."
Tootsie Roll Industries,Tootsie Roll,Megacorp,Ellen R. Gordon (no relation to founder) is CEO and largest shareholder with about 40% of shares. She's a billionaire off of this
PepsiCo,Tostitos,Megacorp,
General Mills,Total,Megacorp,
General Mills,Totinos,Megacorp,
Kellanova,Town House,Megacorporation,
Sadler Family,Traditional Medicinals,Family owned,
Co-op,Tree Top,Farmer's Co-op,
Mondelez International,Triscuit,Megacorporation,
General Mills,Trix,Megacorp,
Pepsico,Truleaf Tea,Megacorp,
JAB Holding Company,Tully's Coffee,Megacorp,Owned via Keurig Dr. Pepper
Associated British Foods,Twinnings,Megacorp,
Mars,Twix,Megacorp,
Feldkamp family,Umpqua,Family owned,
Post,Uncle Sam,Megacorp,
Unique Snacks,Unique Snacks,Family Owned,
The Bronner Family,Unreal,Family owned,Apparently started by two teenaged brothers and their father... so... by their father using them as a backstory??? haha... idk.
Campbell's Soup,V8,Megacorp,
Dare foods,Vinta,Family owned,I guess Dare is a family owned conglomerate at this point.
sketchy,Vita Coco,sketchy,I think they're in the process of getting bought out by Anheuser Busch
Conagra Brands,Vlasic,Megacorporation,
Post,Waffle Crisp,Megacorp,
HKW,Walden's Farms dressing,Private Equity,
Barilla,Wasa,Megacorporation,
Post,Weetabix,Megacorp,
Co-op,Welch's,Farmer's Co-op,
General Mills,Wheeties,Megacorp,
Deric Cahill & Brooklynn Cahill,Wicked BOLD chocolate,Family founder owned!,"Follow this affiliate link to purcahse directly from this family owned brand and support my channel at the same time! Use the coupon code cancelthisclothingcompany for 10% off your order as well! Everybody wins. Supporting small businesses and my channel through these affiliate links means a lot to me and the family owned businesses I promote, so thank you for your support."
Piazza family,Wild Mikes,Family owned,Has a children's charity foundation similar to Newman's Own
Unilever,Wishbone,Megacorp,
Juste went public,Yerbae,Megacorp,Likely going to get short sold and crushed and then bought out by a big competitor for pennies on the dollar if you ask me
"Drew Sutherland, David Cooper, and Glenn Baginski",Yogi,Founder owned,Owned via East West Tea Company
The Hershey Company,York Peppermint,,
Kraft Heinz,Yuban,Megacorp,
Angela Sutherland & Evelyn Rusli,Yumi,Female founder owned,
Kellanova,Zesta,Megacorporation,
