Owner,Brand,Ownership Type,Notes
Private Equity,Crystal,Private equity,"French Transit, LLC owned by Juggernaut Capital Partners"
Mahisha Dellinger,Curls,Female founder owned,
Unilever,Degree,Megacorp,
Topix Pharmaceuticals,Derma E,Private Equity,Acquired in 2018
Johnson & Johnson,Desitin,Megacorporation,
Galderma- Owned by EQT + Abu Dhabi Investment Authority (ADIA),Differin,Megacorp,
Unilever,Dove,Megacorp,
Unilever,Dove,Mega corporation,
Bronner's family,Dr. Bronner's,Family owned,Checkout the wikipedia page for a fun read
Gary Taneja,Dr. Natural,Privately owned,Gary Taneja bought the company in 2009
Jack Haldrop,Dr. Squatch,Founder owned- private equity backed,Backed by Harlan Capital (and possibly others?)
Jack Haldrup,Dr. Squatch,Founder owned,
Main Post Partners,Duke Cannon,Private Equity,
Nobody knows,Ecoco inc,Effing mystery,
Minesh Patel,Eczema Honey,Founder owned,
LordPharaoh ImHotepAmonRa,Egyptian Magic,Founder owned,This is not a joke... this is for real.
Walmart,Equate Beauty,Megacorp,
Bansk Group,Eva NYC,Private Equity,
Private Equity,Everyman Jack,Private equity,"The Carlyle Group- super sketchy, look them up"
Risa Barash,Fairy Tales Haircare,Female founder owned,Have sponsored this channel and are awesome! Highly recommended for kids and adults.
PT Sinar Mas Group (Eka Tjipta Widjaja & Family),Fiora,Megacorp,Technically family owned- but this is a megacorp for all intents and purposes
Matel,Fisher Price,Megacorporation,
Hutcherson Family,Freshwater,Family owned,Based in Australia
Zahir Dossa,Function of beauty,Founder owned,
L'oreal,Garnier,Mega corporation,
L'Oreal,Garnier,Megacorp,
Procter & Gamble,Gillete,Megacorp,
Kimberly-Clark,Goodnites,Megacorporation,Formerly Pull Ups Goodnites
Procter & Gamble,Hair Biology,Mega corporation,
Inspired Beauty Brands,Hask,Private Equity,
Procter & Gamble,Head & Shoulders,Mega corporation,
Colgate-Palmolive,Hello Products,Megacorp,
Colgate Palmolive,Hello Products,Megacorp,
Procter & Gamble,Herbal Essences,Mega corporation,
HGGC,Heritage Store,Private Equity,Owned by Neutraceutical which was acquired by HGGC
Church & Dwight,Hero,Megacorp,
Hims & Hers Health Inc.,hers,Megacorp,
Mezzanine capital Maven Hill Capital,hollywood beauty,Private equity owned,
Kimberly-Clark,Huggies,Megacorporation,
Jeff Shardell,Humble,Founder Owned,"Jeff Shardell- super transparent on website, super natural"
Standard Homeopathic Co,Hyland's naturals,Private Equity?,"uhhhhh... maybe read this if you're using their teething tablets... Or any of their products. Very opaque, seems sketchy."
Carolyn Aronson,It's a 10,Female founder owned,
Hain Celestial Group,Jason,Megacorp,
John Freida,John Freida,Founder owned,
Johnson & Johnson,Johnsons,Megacorporation,
Capetown Toiletry company,Jozi curls,Mystery money,Super fuckin sketchy
Nehemia Manufacturing,Kandoo Kids,Private Equity?,Maybe just go see for yourself? Probably better than J&J
Henkel,Kenra,Mega corporation,
Shelley Davis,Kinky Curly,Female founder owned,
Kimberly-Clark,Kleenex,Megacorp,
Kimberly-Clark,Kotex,Megacorp,
L'Oreal,L'Oreal,Megacorp,
L'Oreal,La Roche Posay,Megacorp,
Ben & Jade Bower,Life Doesn't Stink (Stinkbug Naturals),Founder Owned,
Prestige Consumer Healthcare Inc,Little remedies,Megacorporation,
Alex Friedman & Jordana Kier,Lola,Female Founder Owned,
Johnson & Johnson,Lubriderm,Megacorp,
Harry's,Lume,Private equity,"Lume was Harry's first acquisition- Harry's is still controlled by the founders, but they seem to be trying to become mega corporate. Tried to sell out to Edgewell in 2021 but were blocked by the FTC"
Procter & Gamble,Luvs,Megacorporation,
Jane May Graves,Luxe Beauty,Female Founder Owned,"Jane is a chemist and a certified bad ass. One of the highest integrity companies I've found when it comes to natural, non-toxic ingredients. She avoids cheap oils in her products and packages in glass to avoid plastic exposure. Next level. Check out the blog on her website for a bunch of deep dives on the beauty industry and products."
Oliver Zak & Selom Agbitor,Mad Rabbit,Founder owned,"Tattoo specific natural skincare, but lots of great products for general skin wellness"
Katzev family,Mane 'n Tail,Family owned,Have a hillarious TikTok account- great for animals and for humans
MAV,Marc Anthony,Private equity/insider controlled corporation,
Johnson & Johnson,Maui Moisture,Mega corporation,
S.C. Johnson & Son,Method Products,Private equity,Private Company 6th richest family in America
Revlon- Ronald Perelman,Michum,Private equity,Skeezy billionaire with lots of questionable connections
Procter & Gamble,Mielle,Mega corporation,
Miko Branch,Miss Jessie's,Female founder owned,Bad Ass. RIP to Titi <3
Zuru Edge,Monday,Private big money... do your own research,CEO Jaimee Lupton is partner of Zuru founder
Eugenia Akuete,Mother's Shea,Founder owned,
Sue Ismiel,Nad's,Founder owned,
GSK,Natean,Megacorp,
Procter & Gamble,Native,Megacorp,
Procter & Gamble,Native,Mega corporation,
Susie Hewson,Natracare,Female Founder Owned,Since 1989! the GOAT
Johnson & Johnson,Neutrogena,Megacorp,
Bethany and Rocky Pagliarulo,Not your mothers,Founder family owned,
Value Max Products,Nudy Rudy,Private Equity,Classic attempt at hiding the parent company from you because it's kinda sus...
Edgewell Personal Care,OB Tampons,Megacorp,
"Shannon, Britta, Lindsay",Odele,Female founder owned,
Bani Bahari & Jonathan Lawrence,Off Court,Family owned,Founders are married. Company is minority owned and backed by private equity Cartograph Ventures and Intonation Ventures
Johnson & Johnson,OGX,Mega corporation,
Jordan Morrow & Worth Anne Herrell,Oilogic,Female founder owned,
Advent International,Olaplex,Private Equity,
Procter & Gamble,Olay,Megacorp,
Procter & Gamble,Old Spice,Megacorp,
Procter & Gamble,Old Spice,Mega corporation,
Church & Dwight,Orajel,Megacorporation,
David Sandoval,Organic By Nature,Founder owned,Not to be confused with the copious other similarly named brands
Brook Harvey Taylor and husband,Pacifica,Female founder owned,
Procter & Gamble,Pampers,Megacorporation,
Procter & Gamble,Pantene,Mega corporation,
Haleon,Perodontax,Megacorp,
Procter & Gamble,Pert Plus,Mega corporation,
Edgewell Personal Care,Playtex,Megacorp,
Unilever,Ponds,Megacorp,
Procter & Gamble,Puffs,Megacorp,
Kimberly-Clark,Pull Ups,Megacorporation,These are just Huggies with a different packaging
Branded Group,Puracy,Private equity,
JM brands,Pure Zero,Private Equity,
Koch Industries,Quilted Northern,Megacorp,The Koch family megacorp- this is through their ownership of Georgia Pacific LLC
,Rael,Female Founder Owned,Three Kool Korean-American ladies. Legit.
Donda Mullis & Ronnie Shugar,Raw Sugar,Founder Family Owned,
Ronnie Shugar & Donda Mullis,Raw Sugar,Founder owned,
Aida and Lidia,Raz Baby,Female founder owned,Sisters founded in 2002
MAV,Renpure,Private equity/insider controlled corporation,
Boohoo is largest shareholder,Revolution,Corporation (maybe mega?),
SLG brands,Rhyme & Reason,Private equity founded,Founded by Miles Dunkley
Grisi,Ricitos de Oro,Megacorporation,"Mystery Mexican megacorp. Big, opaque, hard to tell what they're up to. Doesn't seem great. Obviously just targetting Spanish speaking market"
Thriving Brands,Right Guard,Private equity,Private Equity purchased in 2021 from Henkel
Julissa Prado,Rizos curls,Female founder owned,
Iskra Laurence,Saltair,Influencer founder owned- PE backed,
Unilever,Schmidt's,Megacorp,
Kimberly-Clark,Scott,Megacorp,
Shiseido,Sea Breeze,Megacorp,Based in Japan
Coty- JAB holding company,Sebastian Professional,Mega corporation,
Procter & Gamble,Secret,Megacorp,
GSK + Pfizer,Sensodyne,Megacorp,
Henkel,Sexy Hair,Mega corporation,
Tengram Capital Partners,SGX NYC,Private Equity,
Unilever,shea moisture,Mega corporation,
Unilever,Shea Moisture,Megacorp,
Unilever,Shea Moisture Baby,Megacorporation,
Unilever,Simple,Megacorp,
Dean & Steven Neiger,Sky Organics,Founder led,Private equity backed by Nexus Capital Management. Unclear what ownership stake they took.
Koch Industries,Sparkle,Megacorp,The Koch family megacorp- this is through their ownership of Georgia Pacific LLC
Colgate-Palmolive,Speed Stick,Megacorp,
Unilever,St Ives,Megacorp,
Energizer,Stay Free,Megacorp,
Unilever,Suave,Mega corporation,
SC Johnson & co,Sun Bum,Mega corporation,
Procter & Gamble,Tampax,Megacorp,
Chris-Tia Donaldson,TGIN,Female founder owned,
Maya Smith,The Doux,Female founder owned,
Lauren Scholte Wang,The FLEX Company,Female Founder Owned,"Disks, cups, etc."
Beatrice Dixon,The Honey Pot Company,Female Founder and Family Owned,There was controversy over an ingredient change. The company was not sold or taken over
Procter & Gamble,This is L.,Megacorp,
Colgate-Palmolive,Tom's of Maine,Megacorp,
Colgate Palmolive,Toms of Maine,Megacorp,
Taraji P Henson,TPH,Female founder owned,
Unilever,TreSemme,Mega corporation,
Lenny Kravitz & Julian & Cody Levine,Twice Oral Wellness,Founder owned,
Kimberly-Clark,U by Kotex,Megacorp,
Renee Morris,Uncle Funky's Daughter,Female bought and owned!,Homegirl literally just bought the company outright with her own pocket money.
Psyche Terry,Urban Hydration,Female founder owned,
Unilever,Vaseline,Megacorporation,
Kimberly-Clark,Viva,Megacorp,
Church & Dwight,Viviscal,Mega corporation,
David Portnoy,Would,Founder owned,"This one's weird. Would is owned by Barstool Brands (like Barstool sports) and Potnoy apparently sold it to Penn entertainment, and then they have sold it back to Portnoy as of 2023 I believe..."
Johnson & Johnson,Zarbees,Megacorporation,Owned by Kenvue whic is owned by J&J
Mars,3 Musketeers,Megacorp,
Kraft-Heinz,A1 Steak sauce,Megacorp,
Congo Brands,Alani Nu,Founder owned/Private equity backed,
Alessi family,Alessi,Family owned,Third generation.
Harris family,All American Crackers,Family owned,"Based in Seattle, second generation"
Kellogg's,All-bran,Megacorp,
The Hershey Company,Almond Joy,Megacorp,
Post,Alpen Muesli,Megacorp,
Next World Evergreen,Alter Eco,Private Equity,Acquired in 2017
Jess Sturzenegger,Amara,Female founder owned,
Nature's Path,Amazon Flakes,Founder Family Owned,
General Mills,Annie's homegrown,Megacorp,
General Mills,Annies Organic Cocoa Bunnies,Megacorp,Annie's Homegrown is owned by General Mills
Kellogg's,Apple Jacks,Megacorp,
Don Voltagio,Arizona Iced Tea,Founder owned,His story is funny and pretty wild if you wanna look into it.
General Mills,Auntie Annie's,Megacorporation,
Jennifer Carlson and Jill Vos,Baby gourmet,Female founder owned,
Unibel,Babybel,Megacorp (French),
Barilla,Back to Nature,Megacorporation,
Monster Beverage Corp,Bang,Megacorp,Went through bankruptcy in 2023 and got bought
Post,Barbara's,Megacorp,
The Hershey Company,Bark Thins,Megacorp,
General Mills,Basic 4,Megacorp,
Inspire Brands,Baskin Robbins,Private Equity,Fuq these guys
Oetker Group,Beach Nut,Family megacorp,
Kellogg's,Bear Naked Granola,Megacorp,
Beaverton Foods,Beaver mustard,Family owned,
Bernatello's Foods,Bellatoria,Ramsay Family,
Unilever,Ben & Jerry's,Megacorp,I don't write the rules here guys.
Conagra Brands,Bernstein's dressing,Megacorp,
Mizkan Group,Bertolli,Mega Corporation,Based in Japan
Unilever,Best foods mayo,Megacorp,
