SCJ_ID,Brand_ID,Subcategory_ID
1,56,1
2,58,1
3,74,1
4,78,1
5,96,1
6,129,1
7,157,1
8,164,1
9,196,1
10,198,1
11,205,1
12,208,1
13,211,1
14,216,1
15,260,1
16,270,1
17,272,1
18,304,1
19,349,1
20,356,1
21,357,1
22,358,1
23,359,1
24,382,1
25,384,1
26,386,1
27,388,1
28,409,1
29,413,1
30,421,1
31,483,1
32,562,1
33,563,1
34,566,1
35,580,1
36,2,2
37,4,2
38,6,2
39,15,2
40,19,2
41,20,2
42,21,2
43,23,2
44,23,2
45,24,2
46,25,2
47,26,2
48,27,2
49,29,2
50,30,2
51,31,2
52,32,2
53,32,2
54,33,2
55,34,2
56,43,2
57,47,2
58,52,2
59,59,2
60,64,2
61,67,2
62,68,2
63,70,2
64,75,2
65,76,2
66,76,2
67,84,2
68,85,2
69,86,2
70,88,2
71,89,2
72,97,2
73,99,2
74,100,2
75,101,2
76,107,2
77,115,2
78,116,2
79,117,2
80,118,2
81,122,2
82,123,2
83,125,2
84,128,2
85,131,2
86,135,2
87,137,2
88,139,2
89,140,2
90,141,2
91,142,2
92,149,2
93,149,2
94,150,2
95,151,2
96,152,2
97,152,2
98,154,2
99,159,2
100,160,2
101,162,2
102,168,2
103,170,2
104,171,2
105,173,2
106,180,2
107,181,2
108,187,2
109,195,2
110,199,2
111,199,2
112,206,2
113,218,2
114,228,2
115,230,2
116,233,2
117,237,2
118,237,2
119,238,2
120,241,2
121,242,2
122,243,2
123,249,2
124,256,2
125,257,2
126,259,2
127,261,2
128,262,2
129,263,2
130,264,2
131,265,2
132,273,2
133,277,2
134,282,2
135,285,2
136,287,2
137,290,2
138,291,2
139,299,2
140,305,2
141,307,2
142,310,2
143,313,2
144,314,2
145,315,2
146,318,2
147,324,2
148,325,2
149,328,2
150,332,2
151,334,2
152,335,2
153,340,2
154,343,2
155,345,2
156,350,2
157,353,2
158,354,2
159,354,2
160,354,2
161,355,2
162,360,2
163,366,2
164,367,2
165,372,2
166,374,2
167,375,2
168,376,2
169,378,2
170,379,2
171,380,2
172,381,2
173,381,2
174,387,2
175,390,2
176,395,2
177,396,2
178,398,2
179,407,2
180,408,2
181,410,2
182,415,2
183,424,2
184,425,2
185,426,2
186,427,2
187,429,2
188,430,2
189,430,2
190,436,2
191,436,2
192,437,2
193,443,2
194,444,2
195,445,2
196,447,2
197,448,2
198,450,2
199,460,2
200,463,2
201,464,2
202,466,2
203,468,2
204,469,2
205,470,2
206,473,2
207,474,2
208,475,2
209,475,2
210,476,2
211,481,2
212,485,2
213,496,2
214,498,2
215,501,2
216,503,2
217,507,2
218,508,2
219,517,2
220,521,2
221,522,2
222,523,2
223,524,2
224,527,2
225,532,2
226,534,2
227,542,2
228,545,2
229,550,2
230,553,2
231,555,2
232,559,2
233,561,2
234,567,2
235,568,2
236,579,2
237,586,2
238,1,3
239,3,3
240,5,3
241,7,3
242,8,3
243,9,3
244,10,3
245,11,3
246,12,3
247,13,3
248,14,3
249,16,3
250,17,3
251,18,3
252,22,3
253,28,3
254,35,3
255,36,3
256,37,3
257,38,3
258,39,3
259,40,3
260,41,3
261,42,3
262,44,3
263,45,3
264,46,3
265,48,3
266,49,3
267,50,3
268,51,3
269,53,3
270,54,3
271,55,3
272,57,3
273,60,3
274,61,3
275,62,3
276,63,3
277,65,3
278,66,3
279,69,3
280,71,3
281,72,3
282,73,3
283,77,3
284,78,3
285,79,3
286,80,3
287,81,3
288,82,3
289,82,3
290,83,3
291,83,3
292,87,3
293,90,3
294,91,3
295,92,3
296,93,3
297,94,3
298,95,3
299,98,3
300,102,3
301,103,3
302,104,3
303,105,3
304,106,3
305,108,3
306,109,3
307,110,3
308,111,3
309,112,3
310,113,3
311,114,3
312,119,3
313,120,3
314,121,3
315,124,3
316,126,3
317,127,3
318,130,3
319,132,3
320,133,3
321,134,3
322,136,3
323,138,3
324,143,3
325,144,3
326,145,3
327,146,3
328,147,3
329,148,3
330,149,3
331,153,3
332,155,3
333,156,3
334,158,3
335,161,3
336,163,3
337,165,3
338,166,3
339,167,3
340,169,3
341,172,3
342,174,3
343,175,3
344,176,3
345,177,3
346,177,3
347,178,3
348,179,3
349,182,3
350,183,3
351,184,3
352,185,3
353,186,3
354,188,3
355,189,3
356,190,3
357,191,3
358,192,3
359,193,3
360,194,3
361,197,3
362,200,3
363,201,3
364,202,3
365,203,3
366,204,3
367,204,3
368,205,3
369,207,3
370,209,3
371,210,3
372,210,3
373,212,3
374,213,3
375,214,3
376,215,3
377,217,3
378,219,3
379,220,3
380,221,3
381,222,3
382,223,3
383,224,3
384,225,3
385,226,3
386,227,3
387,229,3
388,231,3
389,232,3
390,234,3
391,235,3
392,236,3
393,239,3
394,240,3
395,244,3
396,245,3
397,246,3
398,247,3
399,248,3
400,250,3
401,251,3
402,252,3
403,253,3
404,254,3
405,255,3
406,258,3
407,266,3
408,267,3
409,268,3
410,269,3
411,271,3
412,274,3
413,275,3
414,276,3
415,278,3
416,279,3
417,280,3
418,281,3
419,283,3
420,284,3
421,286,3
422,288,3
423,289,3
424,292,3
425,293,3
426,294,3
427,295,3
428,296,3
429,297,3
430,298,3
431,300,3
432,301,3
433,302,3
434,302,3
435,303,3
436,303,3
437,306,3
438,308,3
439,309,3
440,311,3
441,312,3
442,316,3
443,317,3
444,319,3
445,320,3
446,321,3
447,322,3
448,323,3
449,326,3
450,327,3
451,329,3
452,330,3
453,331,3
454,333,3
455,333,3
456,336,3
457,337,3
458,338,3
459,339,3
460,341,3
461,342,3
462,344,3
463,346,3
464,347,3
465,348,3
466,351,3
467,352,3
468,361,3
469,361,3
470,361,3
471,361,3
472,362,3
473,363,3
474,364,3
475,365,3
476,368,3
477,369,3
478,370,3
479,371,3
480,373,3
481,377,3
482,383,3
483,385,3
484,389,3
485,391,3
486,392,3
487,393,3
488,394,3
489,397,3
490,399,3
491,400,3
492,401,3
493,402,3
494,403,3
495,404,3
496,405,3
497,406,3
498,411,3
499,412,3
500,414,3
501,416,3
502,417,3
503,418,3
504,419,3
505,420,3
506,422,3
507,423,3
508,428,3
509,431,3
510,432,3
511,433,3
512,433,3
513,434,3
514,435,3
515,438,3
516,439,3
517,440,3
518,441,3
519,442,3
520,446,3
521,449,3
522,451,3
523,452,3
524,453,3
525,454,3
526,455,3
527,456,3
528,457,3
529,458,3
530,459,3
531,461,3
532,462,3
533,465,3
534,467,3
535,471,3
536,472,3
537,477,3
538,478,3
539,479,3
540,480,3
541,482,3
542,483,3
543,484,3
544,486,3
545,487,3
546,488,3
547,489,3
548,490,3
549,491,3
550,492,3
551,493,3
552,494,3
553,495,3
554,497,3
555,499,3
556,500,3
557,502,3
558,502,3
559,504,3
560,505,3
561,506,3
562,509,3
563,510,3
564,511,3
565,512,3
566,513,3
567,514,3
568,515,3
569,516,3
570,518,3
571,519,3
572,520,3
573,525,3
574,526,3
575,528,3
576,528,3
577,529,3
578,530,3
579,531,3
580,533,3
581,535,3
582,536,3
583,537,3
584,538,3
585,539,3
586,540,3
587,541,3
588,543,3
589,544,3
590,546,3
591,547,3
592,548,3
593,549,3
594,551,3
595,552,3
596,554,3
597,556,3
598,557,3
599,558,3
600,560,3
601,564,3
602,565,3
603,569,3
604,570,3
605,571,3
606,572,3
607,573,3
608,574,3
609,575,3
610,576,3
611,577,3
612,578,3
613,581,3
614,582,3
615,583,3
616,584,3
617,585,3
618,587,3
